,TRACTID,cost,date
4333,843000,3e+05,2006-03-29
4334,640500,6e+05,2006-05-16
4335,020100,25800,2006-03-21
4336,660700,75000,2006-05-04
4337,230500,1e+05,2006-03-17
4338,251200,170000,2006-05-10
4339,070700,42142,2006-03-21
4340,242100,7800,2006-05-22
4341,190701,592000,2006-03-13
4342,161100,211000,2006-03-15
4343,430300,7e+05,2006-04-17
4344,160300,180000,2006-03-27
4345,170800,12500,2006-04-12
4346,170700,12500,2006-04-11
4347,480400,135000,2006-03-27
4348,150401,12000,2006-03-29
4349,210900,5800000,2006-03-13
4350,842600,160000,2006-04-03
4351,843200,2900,2006-03-31
4352,071500,15000,2006-05-04
4353,431302,291000,2006-06-08
4354,050300,9000,2006-07-21
4355,840300,180000,2006-03-27
4356,834000,180000,2006-04-04
4357,580700,11000,2006-04-03
4358,221300,150000,2006-04-13
4359,840300,180000,2006-03-27
4360,740100,180000,2006-03-22
4361,600900,5000,2006-04-06
4362,491400,15000,2006-03-28
4363,839900,47600,2006-04-04
4364,840000,135000,2006-07-26
4365,320100,25000,2006-03-22
4366,839700,17875,2006-04-12
4367,062200,4e+05,2006-03-14
4368,061200,2000,2006-04-05
4369,160602,2000,2006-04-05
4370,210601,250000,2006-03-29
4371,242500,9900,2006-03-29
4372,590600,25000,2006-03-30
4373,590600,50000,2006-03-30
4374,842900,1000,2006-03-24
4375,830500,1300000,2007-01-08
4376,830900,280000,2006-04-04
4377,841900,3300000,2006-03-28
4378,020702,372000,2006-04-13
4379,240500,686000,2006-05-12
4380,836000,215000,2006-04-04
4381,062700,15000,2006-03-31
4382,062300,3e+05,2006-04-07
4383,842400,276000,2006-03-29
4384,842400,276000,2006-03-29
4385,030400,10000,2006-03-30
4386,842400,276000,2006-03-29
4387,842400,276000,2006-03-29
4388,842400,276000,2006-03-29
4389,842400,276000,2006-03-29
4390,740100,11000,2006-04-05
4391,051000,1317000,2006-06-01
4392,720500,5e+05,2006-06-13
4393,150402,470000,2006-09-01
4394,020100,11000,2006-03-31
4395,240500,15000,2006-04-17
4396,020702,450000,2006-03-20
4397,170300,280000,2006-03-31
4398,161100,238000,2006-03-15
4399,161100,238000,2006-03-15
4400,220500,986250,2006-05-05
4401,050200,285000,2006-03-27
4402,062100,675000,2006-05-09
4403,839900,325000,2006-04-26
4404,160800,7500,2006-04-06
4405,051100,238000,2006-04-11
4406,320100,1e+05,2006-03-22
4407,839900,7000,2006-04-04
4408,070300,2500,2006-03-28
4409,031700,17875,2006-04-20
4410,840400,5000,2006-03-28
4411,060400,50000,2006-03-17
4412,120100,12000,2006-04-11
4413,320400,125000,2006-03-20
4414,282800,350000,2006-06-16
4415,240500,10000,2006-03-23
4416,220500,986250,2006-05-08
4417,310800,1200000,2006-05-25
4418,831600,416160,2006-09-15
4419,110200,745000,2006-11-14
4420,031000,17875,2006-10-06
4421,161100,211000,2006-03-20
4422,081800,5000,2006-03-31
4423,081403,5000,2006-03-31
4424,241500,350000,2006-04-06
4425,242000,523000,2006-04-07
4426,060100,10600,2006-04-18
4427,243200,250000,2006-03-17
4428,071200,1e+06,2006-04-03
4429,030603,10000,2006-03-28
4430,070700,9e+05,2006-05-08
4431,161100,211000,2006-03-17
4432,100600,234000,2006-03-24
4433,050500,15000,2006-03-30
4434,050500,15000,2006-03-30
4435,161100,173000,2006-03-20
4436,161100,173000,2006-03-20
4437,161100,173000,2006-03-20
4438,161100,173000,2006-03-20
4439,161100,173000,2006-03-21
4440,161100,173000,2006-03-21
4441,161100,173000,2006-03-21
4442,161100,173000,2006-03-21
4443,161100,173000,2006-03-21
4444,161100,173000,2006-03-21
4445,161100,173000,2006-03-21
4446,161100,173000,2006-03-21
4447,161100,173000,2006-03-21
4448,161100,173000,2006-03-21
4449,161100,173000,2006-03-21
4450,161100,173000,2006-03-21
4451,161100,173000,2006-03-21
4452,161100,173000,2006-03-21
4453,161100,173000,2006-03-21
4454,240600,380000,2006-06-12
4455,062200,580000,2006-05-18
4456,241400,8e+05,2006-10-18
4457,081403,3.5e+07,2006-03-31
4458,150401,231000,2006-04-10
4459,150401,231000,2006-04-10
4460,030500,160000,2006-06-07
4461,351400,410000,2006-08-14
4462,020701,11500,2006-04-04
4463,170800,1e+05,2006-04-07
4464,831000,228000,2006-04-04
4465,832300,20000,2006-06-02
4466,030500,160000,2006-06-07
4467,030500,160000,2006-06-07
4468,030500,160000,2006-06-07
4469,030500,160000,2006-06-07
4470,832200,4500,2008-06-24
4471,051300,8000,2006-03-20
4472,040100,5000,2006-06-05
4473,241100,272000,2006-04-05
4474,060100,1e+05,2006-05-23
4475,100100,250000,2006-06-12
4476,351400,410000,2006-08-15
4477,351400,410000,2006-08-15
4478,351400,410000,2006-08-14
4479,380200,30000,2006-04-04
4480,242500,1000,2006-05-04
4481,020100,10900,2006-03-31
4482,071100,1000,2006-10-24
4483,170700,8000,2006-04-26
4484,130300,250000,2006-04-03
4485,661000,385000,2006-07-25
4486,831600,2000,2006-05-11
4487,831100,3000,2006-04-04
4488,070103,10000,2006-04-04
4489,070103,10000,2006-04-04
4490,051000,10000,2006-05-10
4491,051000,10000,2006-05-10
4492,832400,8500,2006-05-12
4493,191100,251000,2006-03-27
4494,040202,683000,2006-05-11
4495,070500,10075,2006-04-19
4496,030500,12150,2006-04-19
4497,835800,4e+05,2006-05-16
4498,320400,25000,2006-04-14
4499,630900,125000,2006-04-27
4500,150300,2e+05,2006-03-23
4501,020500,725000,2006-05-03
4502,833000,5e+05,2006-12-07
4503,671300,125000,2006-04-19
4504,150300,175000,2006-03-23
4505,242600,375000,2006-03-24
4506,150300,2e+05,2006-03-23
4507,834600,125000,2006-04-25
4508,671500,125000,2006-04-25
4509,671500,125000,2006-04-17
4510,051300,950000,2007-01-29
4511,120100,250000,2006-03-28
4512,210100,1e+06,2006-09-27
4513,050500,15000,2006-04-03
4514,740300,10000,2006-04-07
4515,740200,580000,2006-03-24
4516,050200,10000,2006-04-20
4517,231200,180000,2006-06-28
4518,230600,180000,2006-06-27
4519,840400,275000,2006-03-24
4520,842100,180000,2006-06-30
4521,840400,275000,2006-03-24
4522,230600,180000,2006-06-28
4523,841800,10000,2006-05-01
4524,671500,125000,2006-04-12
4525,841800,10000,2006-05-01
4526,841800,7700,2006-05-19
4527,841800,11700,2006-05-19
4528,841800,10000,2006-04-19
4529,841800,8100,2006-05-19
4530,561000,10000,2006-05-04
4531,070400,17875,2006-05-10
4532,070600,2e+06,2006-06-23
4533,020702,21000,2006-08-23
4534,291600,745920,2006-08-23
4535,843700,7900,2006-04-24
4536,560300,150000,2006-03-24
4537,560300,150000,2006-03-24
4538,291600,745920,2006-08-23
4539,291600,745920,2006-08-23
4540,681200,125000,2006-04-17
4541,110502,3e+05,2006-04-04
4542,671600,125000,2006-04-19
4543,832200,7500,2006-04-28
4544,040401,7500,2006-05-31
4545,050200,7500,2006-06-05
4546,833000,285000,2006-04-03
4547,040202,17875,2006-04-24
4548,730700,950000,2007-11-19
4549,301100,240000,2006-08-04
4550,390300,950000,2006-07-25
4551,242800,280000,2006-04-05
4552,838000,610000,2006-09-08
4553,242500,250000,2006-03-24
4554,071800,680000,2006-08-02
4555,839100,3e+07,2006-06-23
4556,300600,230000,2006-04-25
4557,720500,2e+05,2006-04-11
4558,835900,6e+05,2006-09-20
4559,051100,7500,2006-04-17
4560,030200,90000,2006-05-24
4561,191100,7500,2006-04-27
4562,030200,10000,2006-06-07
4563,071500,350000,2006-04-10
4564,835600,37000,2006-04-13
4565,260500,369000,2006-07-18
4566,260500,369000,2006-05-25
4567,330100,2500000,2006-03-27
4568,120400,11500,2006-04-17
4569,839800,11000,2006-05-08
4570,580200,1e+05,2006-05-17
4571,580200,1e+05,2006-05-17
4572,580200,1e+05,2006-05-17
4573,580200,1e+05,2006-05-17
4574,580200,1e+05,2006-05-17
4575,580200,1e+05,2006-05-17
4576,836600,490000,2006-04-18
4577,580800,1500,2006-03-27
4578,081403,6e+07,2006-04-28
4579,320600,3.2e+07,2006-03-30
4580,831600,16200,2006-07-06
4581,839800,275000,2006-07-31
4582,839100,5600,2006-03-29
4583,241500,3e+05,2006-04-03
4584,040201,61000,2006-04-07
4585,301600,240000,2006-04-11
4586,740100,335000,2006-07-05
4587,832600,5e+05,2006-11-01
4588,210602,3e+05,2006-10-06
4589,832400,10000,2006-04-19
4590,160800,350000,2006-03-29
4591,250400,46000,2006-06-26
4592,252202,407400,2006-04-10
4593,252202,407400,2006-04-10
4594,252202,407400,2006-04-10
4595,060400,2900000,2006-08-09
4596,560700,3e+06,2006-03-29
4597,210100,1000,2006-05-03
4598,837400,4e+06,2006-06-23
4599,062500,5e+05,2006-06-16
4600,062700,59800,2006-05-08
4601,835200,19480,2006-04-25
4602,171000,250000,2006-04-28
4603,230900,10000,2006-05-15
4604,230900,10000,2006-04-26
4605,230900,10000,2006-04-26
4606,230900,10000,2006-04-26
4607,040202,683000,2006-05-04
4608,050300,7500,2006-04-17
4609,540101,15000,2006-04-10
4610,120400,254000,2006-04-11
4611,170800,9999,2006-05-15
4612,243300,3e+05,2006-04-11
4613,750300,2397707,2006-03-30
4614,837800,337000,2006-05-15
4615,839100,10000,2006-05-25
4616,320600,180000,2006-05-12
4617,838000,337000,2006-04-03
4618,838600,17875,2006-04-03
4619,062200,375000,2006-04-06
4620,062200,8500,2006-04-17
4621,340400,17875,2006-04-21
4622,839900,9800,2006-05-17
4623,100400,1000,2006-04-18
4624,841900,5000,2006-04-11
4625,832500,8500,2006-07-19
4626,832200,10000,2006-04-14
4627,070600,19700,2006-06-20
4628,070400,9000,2006-06-06
4629,070400,9000,2006-06-06
4630,242600,15000,2006-04-10
4631,530200,1e+05,2006-04-17
4632,170400,11936400,2006-03-30
4633,480500,180000,2006-04-03
4634,040100,298034,2006-05-05
4635,081402,5000,2006-04-12
4636,081202,1000,2006-05-17
4637,420400,15000,2006-04-25
4638,222200,2000,2006-04-12
4639,100600,9000,2006-04-24
4640,280900,417000,2006-06-02
4641,070300,13200,2006-04-24
4642,835100,1e+05,2006-04-17
4643,320400,30000,2006-04-11
4644,020100,220000,2006-05-31
4645,230600,1437658.75,2006-03-31
4646,380100,3e+05,2006-04-28
4647,740400,125000,2006-04-03
4648,836000,3e+05,2006-04-28
4649,062400,12000,2006-05-08
4650,062400,12000,2006-05-08
4651,231500,150000,2006-05-08
4652,051000,380000,2006-05-04
4653,062400,857000,2006-08-29
4654,480500,180000,2006-04-03
4655,480500,180000,2006-04-03
4656,630800,9800,2006-04-14
4657,630800,37000,2006-04-14
4658,837800,11300,2006-04-07
4659,490902,11300,2006-04-07
4660,230100,8400,2006-04-17
4661,832100,17875,2006-04-17
4662,051400,7500,2006-04-24
4663,110502,7500,2006-04-19
4664,071000,7500,2006-06-08
4665,280900,1451000,2006-08-30
4666,320100,5000,2006-04-12
4667,835800,2e+05,2006-09-13
4668,020601,380000,2006-05-04
4669,170300,280000,2006-04-04
4670,420200,10000,2006-09-06
4671,420800,10000,2006-08-16
4672,720500,9000,2006-04-25
4673,834400,10000,2006-09-07
4674,242000,10000,2006-04-19
4675,836400,18800,2006-05-17
4676,836400,20200,2006-05-17
4677,710900,133040,2006-04-19
4678,710900,133040,2006-04-18
4679,770602,120000,2006-04-21
4680,710900,224720,2006-04-18
4681,710900,224720,2006-04-19
4682,600600,17875,2006-05-30
4683,243000,17875,2006-04-19
4684,NA,17875,2006-04-18
4685,710900,224720,2006-04-18
4686,832200,250000,2006-04-12
4687,310600,250000,2006-04-27
4688,710900,224720,2006-04-19
4689,100600,220000,2006-05-03
4690,834700,120000,2006-05-17
4691,834700,120000,2006-05-17
4692,837300,267000,2006-08-18
4693,740300,7600,2006-06-09
4694,500200,17875,2006-04-26
4695,070600,18000,2006-06-23
4696,611200,190000,2006-04-17
4697,832400,3e+05,2006-04-14
4698,250500,272000,2006-05-03
4699,834800,14300,2006-04-07
4700,161300,275000,2006-04-26
4701,161300,275000,2006-05-03
4702,031400,1.5e+07,2006-05-11
4703,210502,115000,2006-04-20
4704,250500,272000,2006-05-03
4705,841000,1748933,2006-04-06
4706,110100,980000,2006-07-07
4707,600600,228000,2006-05-02
4708,480400,160000,2006-05-11
4709,480400,160000,2006-05-11
4710,480400,160000,2006-06-02
4711,050200,350000,2006-04-28
4712,580300,130000,2006-04-12
4713,200200,13450,2006-04-27
4714,720500,6e+05,2006-07-07
4715,051200,14000,2006-06-13
4716,241300,6e+05,2006-12-06
4717,380100,175000,2006-04-18
4718,839800,180000,2006-04-07
4719,600700,20000,2006-07-06
4720,040900,12000,2006-04-26
4721,832300,12000,2006-04-18
4722,340600,17875,2006-05-17
4723,340600,35000,2006-05-10
4724,340600,35000,2006-05-10
4725,340600,35000,2006-05-17
4726,340600,35000,2006-05-10
4727,340600,35000,2006-05-17
4728,100300,31000,2006-05-12
4729,110400,15000,2006-04-17
4730,838000,8900,2006-06-13
4731,062300,15000,2006-04-24
4732,243100,160000,2006-04-07
4733,560700,140000,2006-05-09
4734,210502,10000,2006-04-18
4735,020601,10000,2006-05-04
4736,243100,9000,2006-04-26
4737,836900,542000,2006-05-02
4738,480300,135000,2006-04-12
4739,670100,240000,2006-04-07
4740,151200,650000,2006-04-12
4741,081402,1e+06,2006-04-10
4742,081402,6250000,2006-04-10
4743,040900,6e+05,2006-04-07
4744,160900,7500,2006-04-26
4745,100700,36000,2006-05-12
4746,330100,1000,2006-04-18
4747,180100,10000,2006-04-18
4748,180100,10000,2006-04-19
4749,310600,10000,2006-05-10
4750,832600,375000,2006-06-19
4751,242000,1100000,2006-08-07
4752,740300,2e+05,2006-04-14
4753,620200,75000,2006-07-27
4754,100300,11900,2006-04-27
4755,620200,75000,2006-07-28
4756,070400,5e+05,2006-04-26
4757,691000,120000,2006-07-26
4758,081000,45000,2006-04-14
4759,580300,130000,2006-08-23
4760,241100,379000,2006-05-09
4761,835600,1e+05,2006-04-24
4762,050500,450000,2006-08-02
4763,070300,7500,2006-04-28
4764,830900,18720,2006-04-21
4765,330100,10700,2006-04-21
4766,351400,350000,2006-05-02
4767,460600,5000,2006-10-23
4768,292500,6500,2006-04-17
4769,841500,375000,2006-06-08
4770,836200,2.5e+07,2006-04-11
4771,020902,25000,2006-04-20
4772,420800,380000,2006-04-25
4773,380100,6e+05,2006-06-26
4774,711200,8000,2006-05-24
4775,832600,8000,2006-07-06
4776,840000,14000,2006-05-19
4777,063400,15000,2007-04-25
4778,330100,17875,2007-07-10
4779,171100,17875,2006-04-25
4780,831100,17875,2006-06-14
4781,840200,16500,2006-04-26
4782,060400,960000,2006-11-03
4783,611200,150000,2006-04-18
4784,420800,425000,2006-07-05
4785,491400,1300000,2006-08-24
4786,420800,425000,2006-07-05
4787,560800,125000,2006-06-05
4788,840200,202600,2006-04-17
4789,840200,202600,2006-04-17
4790,840200,202600,2006-04-17
4791,840200,202600,2006-04-17
4792,840200,202600,2006-04-17
4793,840200,202600,2006-04-17
4794,840200,202600,2006-04-17
4795,840200,202600,2006-04-17
4796,390700,10000,2006-04-21
4797,838100,25000,2006-05-26
4798,840200,202600,2006-04-12
4799,840200,202600,2006-04-12
4800,840200,202600,2006-04-12
4801,840200,202600,2006-04-12
4802,840200,202600,2006-04-14
4803,840200,202600,2006-04-12
4804,840200,202600,2006-04-12
4805,840200,202600,2006-04-12
4806,840200,202600,2006-04-12
4807,840200,202600,2006-04-12
4808,840200,202600,2006-04-12
4809,840200,202600,2006-04-12
4810,840200,202600,2006-04-12
4811,520100,1500000,2006-09-27
4812,710900,147200,2006-05-16
4813,710900,158560,2006-05-18
4814,710900,147200,2006-04-24
4815,710900,147200,2006-05-16
4816,710900,158560,2006-05-16
4817,842600,115000,2006-05-08
4818,062600,7500,2006-05-03
4819,060100,7500,2006-04-24
4820,210100,375000,2006-08-24
4821,838600,280000,2006-04-25
4822,831900,51350,2006-05-05
4823,560900,180000,2006-04-13
4824,062700,1800,2006-04-25
4825,100100,10500,2006-04-25
4826,301801,10000,2006-04-14
4827,243500,10000,2006-05-11
4828,832000,565000,2006-05-11
4829,031000,17875,2006-04-14
4830,031000,17875,2006-04-14
4831,838300,10000,2006-04-21
4832,420800,420000,2006-07-05
4833,110100,12000,2006-06-13
4834,031000,14000,2006-04-28
4835,550200,17850,2006-04-24
4836,550200,17850,2006-04-24
4837,490400,125000,2006-04-17
4838,490400,125000,2006-04-20
4839,750500,150000,2006-04-26
4840,750500,150000,2006-04-26
4841,750500,150000,2006-04-26
4842,100500,350000,2006-06-01
4843,242900,270000,2006-07-19
4844,831600,980000,2006-04-27
4845,160800,18700,2006-04-25
4846,062400,7500,2006-05-03
4847,020702,10000,2006-06-23
4848,140400,790400,2006-07-14
4849,031900,18000,2006-06-20
4850,140400,1125020,2006-07-14
4851,060400,18500,2006-04-26
4852,243500,556000,2006-08-10
4853,240500,18500,2006-07-03
4854,070700,3735000,2006-06-19
4855,060400,18500,2006-04-28
4856,240200,18500,2006-04-24
4857,050200,18500,2006-07-03
4858,240500,18500,2006-06-19
4859,840300,18500,2006-04-26
4860,491100,130000,2006-05-12
4861,491100,130000,2006-05-12
4862,491100,130000,2006-05-12
4863,600700,15000,2006-06-23
4864,600700,15000,2006-06-23
4865,560700,140000,2006-05-09
4866,470100,85000,2006-05-02
4867,836400,1e+06,2006-11-03
4868,833100,10000,2006-05-11
4869,836000,1e+06,2006-09-13
4870,830900,250000,2006-07-10
4871,340500,495000,2006-04-27
4872,230600,85000,2006-05-10
4873,839700,7500,2006-09-28
4874,031000,12000,2006-04-28
4875,170500,6500,2006-05-02
4876,750500,150000,2006-04-26
4877,160501,490000,2006-08-03
4878,050700,950000,2006-06-01
4879,840200,240000,2006-04-17
4880,840200,240000,2006-04-17
4881,840200,240000,2006-04-17
4882,840200,240000,2006-04-18
4883,840200,240000,2006-04-18
4884,840200,240000,2006-04-18
4885,840200,240000,2006-04-18
4886,840200,240000,2006-04-18
4887,840200,240000,2006-04-18
4888,840200,240000,2006-04-18
4889,840200,240000,2006-04-17
4890,241100,750000,2006-07-12
4891,839900,795400,2006-10-16
4892,170500,150000,2006-04-28
4893,210502,980000,2006-05-04
4894,010701,180000,2006-05-05
4895,252201,450000,2006-07-03
4896,051400,5e+05,2006-05-22
4897,301200,10000,2006-04-28
4898,301200,10000,2006-04-28
4899,210602,980000,2006-05-01
4900,151200,5e+05,2006-09-05
4901,730500,1400000,2006-10-20
4902,730500,1400000,2006-10-20
4903,730500,1400000,2006-10-20
4904,062100,9700,2006-05-03
4905,241400,9000,2006-05-25
4906,100500,10000,2006-05-03
4907,580100,2e+05,2006-05-03
4908,NA,6e+05,2006-06-06
4909,070600,3500000,2006-05-04
4910,030900,20000,2006-04-28
4911,010702,5e+05,2006-08-23
4912,191301,17875,2006-05-18
4913,841700,20200,2006-05-18
4914,839000,17875,2006-05-02
4915,839000,17875,2006-05-02
4916,630200,17875,2006-05-04
4917,170700,16000,2006-06-16
4918,310800,65000,2006-05-01
4919,380500,460080,2006-04-19
4920,380500,917040,2006-04-19
4921,380500,944280,2006-04-19
4922,380500,780280,2006-04-19
4923,100200,8900,2006-06-06
4924,062100,8900,2006-06-21
4925,220300,10000,2006-05-18
4926,241500,10000,2006-08-14
4927,833000,37000,2006-05-12
4928,839000,5000,2006-05-03
4929,243200,450000,2006-05-05
4930,081403,5000,2006-06-21
4931,081403,5000,2006-05-17
4932,530300,2300000,2006-09-07
4933,840200,202600,2006-04-19
4934,840200,202600,2006-04-19
4935,840200,202600,2006-04-19
4936,840200,202600,2006-04-19
4937,840200,202600,2006-04-19
4938,840200,202600,2006-04-19
4939,840200,202600,2006-04-19
4940,530200,1e+05,2006-04-28
4941,080400,750000,2006-04-25
4942,242200,950000,2006-07-10
4943,470100,1e+05,2006-04-28
4944,252000,1e+05,2006-04-28
4945,740400,180000,2006-06-05
4946,834400,480000,2006-05-05
4947,450300,146000,2006-08-11
4948,380500,401400,2006-04-20
4949,380500,401400,2006-04-20
4950,380500,401400,2006-04-20
4951,380500,401400,2006-04-20
4952,160601,11000,2006-10-31
4953,560800,165000,2007-02-14
4954,837100,82500,2006-05-16
4955,740300,115000,2006-05-04
4956,110502,10000,2006-05-01
4957,380500,401400,2006-04-20
4958,380500,401400,2006-04-20
4959,380500,401400,2006-04-20
4960,380500,401400,2006-04-20
4961,062400,576000,2006-04-21
4962,040900,12000,2006-08-28
4963,550200,850000,2006-08-07
4964,835900,3e+05,2006-05-11
4965,062100,6e+05,2006-06-16
4966,380500,134520,2006-04-20
4967,380500,339240,2006-04-20
4968,380500,372720,2006-04-20
4969,842200,25000,2006-05-10
4970,839100,99597,2006-05-05
4971,380500,1039080,2006-04-20
4972,380500,382080,2006-04-20
4973,380500,608400,2006-04-20
4974,380500,780420,2006-04-20
4975,380500,586800,2006-04-20
4976,380500,1048440,2006-04-20
4977,380500,1038600,2006-04-21
4978,380500,910560,2006-04-21
4979,380500,306120,2006-04-20
4980,180100,50000,2006-05-08
4981,170800,2e+05,2006-05-03
4982,840000,180000,2006-04-26
4983,251800,408000,2006-05-01
4984,260800,649700,2006-04-25
4985,220300,10000,2006-05-04
4986,700301,18333,2006-05-15
4987,700301,18720,2006-05-15
4988,700301,18333,2006-05-15
4989,242900,18720,2006-05-08
4990,241100,8000,2006-05-17
4991,020301,264000,2006-06-02
4992,221200,7000,2006-07-07
4993,292200,1e+05,2006-09-28
4994,170100,5845393,2006-04-21
4995,292200,1e+05,2006-09-28
4996,292200,1e+05,2006-09-28
4997,292200,1e+05,2006-09-28
4998,292400,1e+05,2006-09-28
4999,832200,11890,2006-05-05
5000,150600,9800,2006-05-23
5001,241000,19900,2006-05-11
5002,832000,25000,2006-05-17
5003,150300,10500,2006-05-23
5004,150300,10500,2006-07-31
5005,241500,288000,2006-06-26
5006,220300,10000,2006-10-19
5007,200200,14875,2006-05-11
5008,832400,10000,2006-05-10
5009,240600,10000,2006-05-10
5010,160100,14000,2006-06-26
5011,160100,9000,2006-06-26
5012,242800,394000,2006-05-11
5013,031000,285000,2006-05-16
5014,050900,7500,2006-09-13
5015,150300,250000,2006-04-28
5016,150600,3e+05,2006-05-16
5017,240600,220000,2006-05-05
5018,031000,10000,2006-08-15
5019,242800,394000,2006-05-11
5020,431200,380000,2006-04-27
5021,832400,220000,2006-05-05
5022,061100,550000,2006-05-02
5023,836200,10000,2006-04-27
5024,832200,5000,2006-08-09
5025,470100,165000,2006-05-10
5026,301802,207000,2006-09-15
5027,060400,12000,2006-06-23
5028,580400,10000,2006-05-26
5029,170200,325000,2006-09-19
5030,062700,752180,2006-10-03
5031,843700,2e+05,2006-12-01
5032,843700,2e+05,2006-12-01
5033,843700,2e+05,2006-12-01
5034,843700,2e+05,2006-12-01
5035,843700,2e+05,2006-12-01
5036,062700,752180,2006-10-03
5037,310300,420000,2006-05-17
5038,580200,135000,2006-05-23
5039,330100,5000,2006-05-02
5040,691400,7600,2006-05-05
5041,836200,5000,2006-05-24
5042,330100,5000,2006-05-03
5043,240500,5e+05,2006-05-10
5044,061100,7500,2006-06-05
5045,241400,394000,2006-05-12
5046,243200,2e+05,2006-05-15
5047,282700,1400000,2006-12-05
5048,150200,265000,2006-05-05
5049,842600,160000,2006-05-09
5050,832600,1000,2006-05-10
5051,480100,23000,2006-05-12
5052,340500,14500,2006-05-11
5053,020702,4e+05,2006-08-11
5054,843700,2e+05,2006-12-01
5055,841500,275000,2006-05-22
5056,360200,6e+05,2006-11-15
5057,842300,12500,2006-05-11
5058,340500,12000,2006-05-11
5059,242600,9000,2006-05-23
5060,160501,9000,2006-10-06
5061,832900,344000,2006-05-09
5062,831600,980000,2006-05-03
5063,081700,5e+05,2006-04-27
5064,170300,17875,2006-06-07
5065,170300,150000,2006-05-11
5066,832400,13000,2007-05-17
5067,711000,150000,2006-05-09
5068,842400,175000,2006-05-31
5069,171000,17875,2006-05-08
5070,530501,150000,2006-05-09
5071,340500,515000,2006-05-02
5072,051400,450000,2006-07-13
5073,730400,2e+05,2006-06-08
5074,843600,1e+05,2006-05-16
5075,600600,180000,2006-05-01
5076,221600,489000,2006-05-25
5077,843700,6e+05,2006-07-19
5078,110100,350000,2006-05-25
5079,560800,17875,2006-05-12
5080,831600,8400,2006-05-18
5081,071800,8e+05,2006-05-09
5082,340500,1000,2006-06-01
5083,242000,10000,2006-09-08
5084,240700,7500,2006-08-29
5085,837800,868000,2006-07-13
5086,062800,11500,2006-06-09
5087,310600,17875,2006-08-30
5088,310600,17875,2006-10-25
5089,020500,12000,2006-05-10
5090,061901,160000,2006-05-09
5091,843800,25000,2006-05-22
5092,843700,2e+05,2006-12-01
5093,843700,2e+05,2006-12-01
5094,843700,2e+05,2006-12-01
5095,843700,2e+05,2006-12-01
5096,843700,2e+05,2006-12-01
5097,843700,2e+05,2006-12-01
5098,843700,2e+05,2006-12-01
5099,843700,2e+05,2006-12-01
5100,843700,2e+05,2006-12-01
5101,843700,2e+05,2006-12-01
5102,843700,2e+05,2006-12-01
5103,843700,2e+05,2006-12-01
5104,839700,25000,2006-05-26
5105,100700,190700,2006-05-08
5106,843700,2e+05,2006-12-01
5107,843700,2e+05,2006-12-01
5108,834400,321960,2006-05-17
5109,020602,610000,2006-08-18
5110,670900,225000,2006-08-15
5111,280400,55000,2006-08-04
5112,051100,9000,2006-05-10
5113,836900,230000,2006-07-31
5114,240500,11400,2006-05-18
5115,062300,10000,2006-05-18
5116,841900,4220000,2006-05-02
5117,836200,15000,2006-05-05
5118,480500,130000,2006-06-02
5119,730300,130000,2006-07-12
5120,836900,230000,2006-07-31
5121,836900,230000,2006-07-28
5122,561100,250000,2006-05-03
5123,561100,250000,2006-05-04
5124,570400,5e+05,2006-07-26
5125,836900,230000,2006-07-28
5126,836900,230000,2006-07-28
5127,170700,180000,2006-06-15
5128,071500,10000,2006-05-19
5129,071500,20000,2006-05-18
5130,051200,203775,2006-08-11
5131,260700,3e+05,2006-05-15
5132,610300,150000,2006-05-30
5133,430400,47000,2006-07-25
5134,260700,3e+05,2006-05-15
5135,071800,2500000,2006-05-03
5136,630300,120000,2006-06-07
5137,580600,150000,2006-05-25
5138,611400,36300,2006-05-11
5139,051000,22000,2006-07-24
5140,836300,50000,2006-05-16
5141,560800,190000,2006-05-03
5142,062100,15000,2006-08-17
5143,834400,321960,2006-05-17
5144,834400,321960,2006-05-17
5145,252000,750000,2006-06-23
5146,330100,5000,2006-05-17
5147,843700,750000,2006-10-05
5148,834400,321960,2006-05-17
5149,420800,321960,2006-05-19
5150,691500,170000,2006-05-31
5151,841800,170000,2006-05-30
5152,420800,321960,2006-05-17
5153,040800,45700,2006-05-30
5154,242600,160000,2006-05-08
5155,062300,355000,2006-05-31
5156,220300,8000,2006-05-23
5157,051300,280000,2006-07-10
5158,271200,3e+05,2006-05-31
5159,740400,10000,2006-05-15
5160,071600,10000,2006-05-19
5161,071600,20000,2006-05-19
5162,242000,1000,2006-06-07
5163,062000,17000,2006-06-13
5164,070400,1000,2006-06-06
5165,842600,1000,2006-06-13
5166,837000,35000,2006-05-05
5167,080400,9000,2006-08-11
5168,242600,90000,2006-05-23
5169,051300,11000,2006-05-17
5170,242600,160000,2006-05-08
5171,700401,12500,2006-06-07
5172,242600,160000,2006-05-08
5173,711400,454235,2006-09-11
5174,490500,175000,2006-06-07
5175,832000,290000,2006-05-23
5176,290900,375000,2006-06-02
5177,050200,180000,2006-05-19
5178,081600,97064,2006-05-16
5179,040401,180000,2006-05-15
5180,242300,360000,2006-05-31
5181,840400,180000,2006-05-11
5182,280400,1100000,2006-10-12
5183,834400,4e+05,2006-07-31
5184,834400,4e+05,2006-07-31
5185,834400,4e+05,2006-07-31
5186,834400,4e+05,2006-07-31
5187,010400,30000,2006-05-22
5188,340300,120000,2006-06-12
5189,070400,350000,2006-09-30
