,TRACTID,cost,date
210,280400,5e+05,2016-04-18
211,222500,17875,2016-04-18
212,242900,16720,2016-04-18
213,060200,17875,2016-04-18
214,051400,17875,2016-04-18
215,051300,1116750,2016-04-18
216,310600,17875,2016-04-18
217,838100,10000,2016-04-18
218,241200,3e+05,2016-04-18
219,242200,60000,2016-04-19
220,720200,17875,2016-04-19
221,843700,4e+05,2016-04-19
222,242900,17875,2016-04-19
223,040900,17875,2016-04-19
224,320100,120000,2016-04-19
225,160100,17875,2016-04-19
226,770602,80000,2016-04-11
227,330100,6000,2016-04-19
228,241200,2472500,2016-04-20
229,243500,1250000,2016-04-20
230,310400,1262300,2016-04-20
231,838300,60000,2016-04-19
232,832500,17875,2016-04-20
233,420200,17875,2016-04-20
234,210900,250000,2016-04-20
235,530501,17875,2016-04-20
236,530600,17875,2016-04-20
237,530600,17875,2016-04-20
238,320100,1e+05,2016-04-20
239,231200,17875,2016-04-20
240,320100,15000,NA
241,320100,1000,2016-04-20
242,320100,3000,2016-04-20
243,840300,225000,2016-04-21
244,242100,17875,2016-04-21
245,080300,1e+08,2016-04-21
246,843200,31011350,2016-04-22
247,221400,1489400,2016-04-22
248,841100,2e+05,2016-04-22
249,081000,17875,2016-04-22
250,081000,17875,2016-04-22
251,833000,17875,2016-04-22
252,081202,1000,2016-04-22
253,320100,38000,2016-04-22
254,838100,17875,2016-04-22
255,320400,7500,2016-04-22
256,320100,2000,2016-04-22
257,330100,1000,2016-04-22
258,320100,17875,2016-04-22
259,320100,1000,2016-04-22
260,320100,1000,2016-04-22
261,320100,1000,2016-04-22
262,320100,17875,2016-04-22
263,320100,1000,2016-04-22
264,330100,1000,2016-04-22
265,650400,10000,2006-03-07
266,062300,5000,2006-05-31
267,831900,15000,2006-06-23
268,330100,20000,2006-08-17
269,842300,192000,2006-09-21
270,020200,9500,2006-11-03
271,251100,18000,2007-02-23
272,839600,10500,2007-01-29
273,241400,20000,2007-04-06
274,841900,48000,2007-03-09
275,050800,350000,2007-05-31
276,580200,19000,2007-05-21
277,460600,8000,2007-10-17
278,080300,9000,2007-09-19
279,081201,2300000,2007-09-07
280,330100,3e+05,2007-10-30
281,832200,10000,2008-04-22
282,630800,15700,2008-01-25
283,330100,310000,2008-07-29
284,660500,272600,2008-09-19
285,070700,17875,2009-01-28
286,081403,17875,2009-02-13
287,720300,17875,2009-02-24
288,400300,17875,2009-03-18
289,841200,10000,2009-08-12
290,520300,17875,2009-09-30
291,040202,17875,2009-10-14
292,222500,17875,2009-12-09
293,711200,3000,2010-01-07
294,680600,17875,2009-12-17
295,660800,20000,2010-10-07
296,070600,2300,2010-05-04
297,252202,17875,2010-10-08
298,580100,17875,2010-11-22
299,210602,17875,2010-12-13
300,560200,17875,2011-03-16
301,520300,17875,2011-01-25
302,080300,17875,2011-03-04
303,670600,17875,2011-04-06
304,530300,17875,2011-04-06
305,320100,2000,2011-06-02
306,671600,17875,2011-06-27
307,260600,17875,2011-12-23
308,836800,17875,2012-02-10
309,838800,17875,2012-03-02
310,834600,17875,2012-04-03
311,834600,17875,2012-03-28
312,650302,8000,2012-02-29
313,670600,17875,2012-03-07
314,440202,17875,2012-04-17
315,491400,17875,2012-05-03
316,490901,17875,2012-04-11
317,090300,17875,2012-07-11
318,050900,17875,2012-07-17
319,832200,17875,2012-07-24
320,671300,17875,2012-07-20
321,834900,17875,2012-07-27
322,230700,17875,2012-08-22
323,842600,145000,2012-10-22
324,241400,385000,NA
325,611700,17875,2012-09-19
326,081402,15000,2012-09-25
327,210900,17875,2012-10-11
328,832300,17875,2012-11-20
329,611900,17875,2012-11-16
330,062900,17875,2013-01-10
331,440800,17875,2012-12-11
332,839500,355100,2013-03-26
333,300900,17875,2013-02-08
334,834500,17875,2013-03-27
335,243400,17875,2013-02-11
336,210900,260800,2013-04-08
337,834600,17875,2013-03-12
338,062800,17875,2013-05-14
339,161000,17875,2013-04-29
340,500300,17875,2013-08-08
341,200401,17875,2014-03-04
342,221400,17875,2013-11-25
343,231500,17875,2013-10-04
344,310300,17875,2013-10-23
345,051300,17875,2013-12-11
346,051300,17875,2013-12-11
347,843700,377400,2014-04-22
348,160200,17875,2014-05-08
349,130100,17875,2014-04-14
350,040100,17875,2014-05-12
351,062300,1200000,2014-05-14
352,834500,17875,2014-05-29
353,081800,5800,2014-05-21
354,320100,2500,2014-06-02
355,242900,17875,2014-06-11
356,242500,17875,2014-07-02
357,062500,1000,2014-06-26
358,560700,1e+06,2014-07-11
359,670600,17875,2014-07-28
360,062400,17875,2014-07-29
361,242900,17875,2014-08-01
362,841100,17875,2014-08-15
363,050800,250000,2014-08-27
364,611800,17875,2014-08-27
365,830600,17875,2014-09-05
366,071700,17875,2014-09-18
367,681300,17875,2014-09-18
368,062400,17875,2014-09-24
369,222600,230000,2014-10-02
370,836700,17875,2014-10-03
371,834600,17875,2014-10-06
372,170100,17875,2014-10-09
373,280100,1e+05,2014-10-16
374,062800,15000,2014-11-12
375,460200,17875,2014-11-19
376,062800,17875,2014-11-21
377,242000,672000,2014-12-03
378,062900,17875,2014-12-08
379,242000,22250,2014-12-09
380,460302,17875,2014-12-31
381,320600,60000,2015-01-12
382,831500,2e+05,2015-02-10
383,381500,35000,2015-03-09
384,611100,17875,2015-03-10
385,050200,250000,2015-03-12
386,251700,17875,2015-03-13
387,440102,17875,2015-03-19
388,230900,17875,2015-03-31
389,843300,17875,2015-03-30
390,681400,17875,2015-04-02
391,560900,120000,NA
392,842600,230000,2015-04-17
393,530501,17875,2015-04-22
394,831900,408100,2015-04-27
395,062400,522000,NA
396,830500,1e+06,2015-05-19
397,062500,10000,2015-05-29
398,830900,17875,2015-06-02
399,243100,17875,2015-06-02
400,051100,386000,2015-06-02
401,843500,250000,2015-06-10
402,020302,17875,2015-06-10
403,040100,2e+05,2015-06-16
404,081800,9000,2015-06-17
405,310400,17875,2015-07-30
406,280100,17875,2015-10-01
407,560200,375000,2007-08-02
408,210501,1450000,2009-11-05
409,836700,6500000,2009-12-15
410,050500,770000,2010-05-10
411,681000,760000,2010-10-29
412,760802,6e+05,2010-06-09
413,330100,6e+06,2010-07-26
414,831900,1300000,2010-08-13
415,070300,1e+06,2010-09-01
416,540102,17875,2011-03-21
417,160502,225000,2015-07-06
418,220300,986850,2015-07-06
419,242200,575000,2015-07-06
420,081700,17875,2015-07-06
421,120100,125000,2015-07-06
422,640300,3000,2015-07-06
423,320100,5000,NA
424,062500,2500000,2015-07-02
425,071600,3e+05,NA
426,831000,25000,2015-07-07
427,670400,17875,2015-07-07
