,std,sum,mean,timestamp
1400000US36005013500,10.3309050958,601.483276367,150.370819092,2014-02-15
1400000US36005013800,21.601802195,818.854980469,68.2379150391,2014-02-15
1400000US36005014100,10.5723361653,705.952880859,141.190576172,2014-02-15
1400000US36005014300,3.88158558548,515.433288574,128.858322144,2014-02-15
1400000US36005014400,17.8734679377,882.235595703,98.0261773003,2014-02-15
1400000US36005014500,8.61884475224,692.881469727,138.576293945,2014-02-15
1400000US36005014701,12.0549730605,738.304626465,147.660925293,2014-02-15
1400000US36005014702,14.9436882449,772.125244141,154.425048828,2014-02-15
1400000US36005014900,13.5820509104,742.156799316,148.431359863,2014-02-15
1400000US36005015100,7.93251412059,674.052185059,134.810437012,2014-02-15
1400000US36005015200,12.788678312,742.671630859,92.8339538574,2014-02-15
1400000US36005015300,7.07105090815,771.287719727,128.547953288,2014-02-15
1400000US36005015500,4.67038726083,533.410522461,133.352630615,2014-02-15
1400000US36005015700,13.1279677169,1059.65820312,132.457275391,2014-02-15
1400000US36005015800,12.2025998206,504.137329102,84.0228881836,2014-02-15
1400000US36005015900,3.72373103091,546.849731445,136.712432861,2014-02-15
1400000US36005016000,13.952845042,600.102661133,66.6780734592,2014-02-15
1400000US36005016100,7.14171402276,830.990600586,138.498433431,2014-02-15
1400000US36005016200,9.42636287964,399.218444824,79.8436889648,2014-02-15
1400000US36005016300,14.4028093776,1440.42272949,144.042272949,2014-02-15
1400000US36005016400,3.67051192286,406.355041504,81.2710083008,2014-02-15
1400000US36005016500,9.9420178778,959.711120605,159.951853434,2014-02-15
1400000US36005016600,12.3006900749,715.184753418,89.3980941772,2014-02-15
1400000US36005016700,3.9456023157,690.701843262,172.675460815,2014-02-15
1400000US36005016900,3.0556794074,523.095336914,174.365112305,2014-02-15
1400000US36005017100,15.6128214257,637.762573242,159.440643311,2014-02-15
1400000US36005017300,14.9067693229,824.976196289,137.496032715,2014-02-15
1400000US36005017500,3.1505474281,495.337677002,123.83441925,2014-02-15
1400000US36005017701,6.73674829709,520.580322266,130.145080566,2014-02-15
1400000US36005017702,20.3132732225,884.66027832,147.44337972,2014-02-15
1400000US36005017901,5.55015840734,505.915435791,126.478858948,2014-02-15
1400000US36005017902,4.36694131429,386.47253418,128.82417806,2014-02-15
1400000US36005018101,3.50919587201,370.06439209,123.354797363,2014-02-15
1400000US36005018102,8.76251067462,515.774658203,128.943664551,2014-02-15
1400000US36005018301,2.93664554587,292.187042236,146.093521118,2014-02-15
1400000US36005018302,8.31837978213,552.868041992,138.217010498,2014-02-15
1400000US36005018400,8.00226645683,747.729553223,83.0810614692,2014-02-15
1400000US36005018500,12.1930557499,1140.94458008,142.61807251,2014-02-15
1400000US36005018900,8.56660129309,816.707336426,136.117889404,2014-02-15
1400000US36005019300,15.5293936998,698.902770996,116.483795166,2014-02-15
