,GEOID,cost,date
1,17031381400,2e+05,2016-03-22
2,17031062200,17875,2016-03-22
3,17031062200,17875,2016-03-22
4,17031071800,750000,2016-03-22
5,17031161000,5e+05,2015-11-06
6,17031221600,483600,2016-03-22
7,17031570300,17875,2016-03-22
8,17031051300,17875,2016-03-22
9,17031611900,17875,2016-03-22
10,17031671600,17875,2016-03-22
11,17031611900,17875,2016-03-22
12,17031611900,17875,2016-03-22
13,17031081100,20000,2016-03-22
14,17031670700,17875,2016-03-22
15,17031670600,17875,2016-03-22
16,17031242600,491100,2016-03-22
17,17031061100,10000,2016-03-22
18,17031040401,17875,2016-03-23
19,17031061200,17875,2016-03-23
20,17031510300,137200,2016-03-23
21,17031650500,8e+05,2016-03-23
22,17031830900,5600000,2016-03-23
23,17031832400,220000,2016-03-23
24,17031560300,17875,2016-03-23
25,17031833300,15000,2016-03-23
26,17031330100,1.5e+08,2016-03-23
27,17031210100,5e+05,2006-02-08
28,17031062000,7e+05,2016-03-24
29,17031381200,250000,NA
30,17031320600,50000,2016-03-24
31,17031060400,450000,2016-03-24
32,17031831100,17875,2016-03-24
33,17031050200,17875,2016-03-24
34,17031600600,17875,2016-03-24
35,17031242000,726000,2016-03-24
36,17031840200,250000,2016-03-24
37,17031050500,8e+05,NA
38,17031070700,614900,2016-03-24
39,17031832400,17875,2016-03-24
40,17031243300,17875,2016-03-24
41,17031243400,17875,2016-03-24
42,17031842600,12000,2006-05-10
43,17031241500,750000,2016-03-25
44,17031010702,10000,2016-03-25
45,17031071100,60000,2016-03-25
46,17031090200,250000,2016-03-28
47,17031090200,250000,2016-03-28
48,17031090200,250000,2016-03-28
49,17031600700,17875,2016-03-28
50,17031040600,250000,2016-03-28
51,17031833300,60000,2016-03-25
52,17031222500,17875,2016-03-28
53,17031770602,1e+07,2016-03-28
54,17031711200,10000,2016-03-29
55,17031320100,39000,2016-03-28
56,17031839600,250000,2016-03-29
57,17031681400,17875,2016-03-29
58,17031660600,17875,2016-03-29
59,17031031502,17875,2016-03-29
60,17031242900,596200,2016-03-29
61,17031071100,17875,2016-03-29
62,17031831000,650000,2016-03-29
63,17031221600,4e+05,2016-03-29
64,17031839000,9840000,2016-03-29
65,17031260600,75000,2016-03-30
66,17031720200,130000,2016-03-30
67,17031061100,92000,2016-03-23
68,17031839900,17875,2016-03-30
69,17031040201,17875,2016-03-30
70,17031031000,3e+05,2016-03-30
71,17031040201,17875,2016-03-30
72,17031330100,92000,2016-03-24
73,17031291200,17875,2016-03-30
74,17031838700,17875,2016-03-30
75,17031841500,17875,2016-03-30
76,17031841500,17875,2016-03-30
77,17031290900,17875,2016-03-30
78,17031070700,1951200,2016-03-31
79,17031210900,3e+05,2016-03-31
80,17031090200,250000,2016-03-31
81,17031831600,2083500,2016-03-31
82,17031838600,17875,2016-03-31
83,17031051400,17875,2016-03-31
84,17031242000,17875,2016-03-31
85,17031070700,17875,2016-03-31
86,17031210100,17875,2016-03-31
87,17031051300,17875,2016-03-31
88,17031051300,17875,2016-03-31
89,17031310700,17875,2016-03-31
90,17031170100,1000,2016-03-31
91,17031290900,17875,2016-03-31
92,17031330100,4895000,2016-03-31
93,17031330100,5221500,2016-03-31
94,17031330100,5221500,2016-03-31
95,17031330100,2360000,2016-03-31
96,17031330100,2360000,2016-03-31
97,17031330100,2530000,2016-03-31
98,17031330100,5221500,2016-03-31
99,17031330100,5221500,2016-03-31
100,17031330100,5221500,2016-03-31
101,17031320100,2000,2016-03-31
102,17031410500,38335,2016-04-01
103,17031300900,17875,2016-04-01
104,17031842300,759900,2016-04-01
105,17031570100,3e+05,2016-04-01
106,17031031502,3e+06,2016-04-04
107,17031070500,17875,2016-04-04
108,17031831600,2083500,2016-04-04
109,17031210900,3e+05,2016-04-04
110,17031843700,17875,2016-04-04
111,17031090200,120000,2016-04-04
112,17031222500,17875,2016-04-04
113,17031222500,17875,2016-04-04
114,17031241200,3e+05,2016-04-04
115,17031031700,5e+05,2016-04-05
116,17031840000,390200,2016-04-05
117,17031161100,149000,2016-04-05
118,17031832200,17875,2016-04-05
119,17031280100,17875,2016-04-05
120,17031081201,750000,2016-04-05
121,17031838300,20000,2016-03-31
122,17031170600,17875,2016-04-05
123,17031520600,125000,2016-04-06
124,17031161100,149000,2016-04-06
125,17031140800,2200000,2016-04-06
126,17031070200,17875,2016-04-06
127,17031070500,550000,2016-04-06
128,17031832600,17875,2016-04-06
129,17031051300,350000,2016-04-06
130,17031081900,92000,2016-03-31
131,17031611900,17875,2016-04-06
132,17031610300,9e+05,NA
133,17031832600,1e+06,2016-04-07
134,17031050200,17875,2016-04-07
135,17031081202,1500000,2016-04-08
136,17031090200,15000,2016-04-07
137,17031140800,17875,2016-04-08
138,17031843600,240000,2016-04-08
139,17031050600,370000,2016-04-08
140,17031170900,17875,2016-04-08
141,17031170900,17875,2016-04-08
142,17031070500,411300,2016-04-08
143,17031062800,421950,2016-04-08
144,17031831000,17875,2016-04-07
145,17031070200,17875,2016-04-08
146,17031070200,17875,2016-04-08
147,17031070300,17875,2016-04-07
148,17031140100,17875,2016-04-07
149,17031061100,1000,2016-04-08
150,17031221400,17875,2016-04-11
151,17031834600,17875,2016-04-11
152,17031060200,5e+05,2016-04-11
153,17031220602,40000,2016-04-11
154,17031710200,17875,2016-04-11
155,17031611100,17875,2016-04-11
156,17031241000,1104000,2016-04-11
157,17031051400,493400,2016-04-11
158,17031491300,17875,2016-04-11
159,17031612000,17875,2016-04-11
160,17031670900,17875,2016-04-11
161,17031611100,17875,2016-04-11
162,17031612000,17875,2016-04-11
163,17031330200,17875,2016-04-11
164,17031241000,35000,2016-04-12
165,17031062700,17875,2016-04-12
166,17031241200,17875,2016-04-12
167,17031612100,17875,2016-04-11
168,17031242900,1335000,2016-04-12
169,17031242000,17875,2016-04-12
170,17031460400,1000,2016-04-12
171,17031243100,17875,2016-04-13
172,17031051400,17875,2016-04-13
173,17031051200,199000,2016-04-13
174,17031120300,215000,2016-04-13
175,17031120300,215000,2016-04-13
