"","LATITUDE","LONGITUDE","cost","date"
"106",41.961909845,-87.653127379,3e+06,2016-04-04
"107",41.931954474,-87.658836326,17875,2016-04-04
"108",41.923709193,-87.805053117,2083500,2016-04-04
"109",41.934698106,-87.69295177,3e+05,2016-04-04
"110",41.948322535,-87.689662099,17875,2016-04-04
"111",42.009845211,-87.812399074,120000,2016-04-04
"112",41.915478925,-87.697287908,17875,2016-04-04
"113",41.915318151,-87.697283189,17875,2016-04-04
"114",41.906463069,-87.683606185,3e+05,2016-04-04
"115",41.966146789,-87.663818763,5e+05,2016-04-05
"116",41.824320837,-87.637583034,390200,2016-04-05
"117",41.947730474,-87.738117916,149000,2016-04-05
"118",41.918350316,-87.680911842,17875,2016-04-05
"119",41.884812214,-87.642891471,17875,2016-04-05
"120",41.897986585,-87.628088398,750000,2016-04-05
"121",41.89911359,-87.637121922,20000,2016-03-31
"122",41.940024219,-87.832385042,17875,2016-04-05
"123",41.694900337,-87.541472766,125000,2016-04-06
"124",41.947629397,-87.738229087,149000,2016-04-06
"125",41.964644089,-87.701314513,2200000,2016-04-06
"126",41.928011275,-87.648705926,17875,2016-04-06
"127",41.931954474,-87.658836326,550000,2016-04-06
"128",41.916537064,-87.650734664,17875,2016-04-06
"129",41.935839016,-87.676607359,350000,2016-04-06
"130",41.896315654,-87.640191494,92000,2016-03-31
"131",41.796297102,-87.663577335,17875,2016-04-06
"132",41.820498095,-87.665406487,9e+05,NA
"133",41.916537064,-87.650734664,1e+06,2016-04-07
"134",41.956764553,-87.685973104,17875,2016-04-07
"135",41.903308165,-87.627713213,1500000,2016-04-08
"136",41.998841412,-87.809639501,15000,2016-04-07
"137",41.964644089,-87.701314513,17875,2016-04-08
"138",41.806721264,-87.610288724,240000,2016-04-08
"139",41.950024665,-87.678493538,370000,2016-04-08
"140",41.937882582,-87.809237267,17875,2016-04-08
"141",41.937482592,-87.809320174,17875,2016-04-08
"142",41.93199236,-87.660047595,411300,2016-04-08
"143",41.937892941,-87.659835347,421950,2016-04-08
"144",41.91358779,-87.682202835,17875,2016-04-07
"145",41.931846467,-87.644732737,17875,2016-04-08
"146",41.931894674,-87.644760735,17875,2016-04-08
"147",41.927683276,-87.648988544,17875,2016-04-07
"148",41.968578956,-87.70677389,17875,2016-04-07
"149",41.949112127,-87.656954796,1000,2016-04-08
"150",41.922667876,-87.695406152,17875,2016-04-11
"151",41.786077328,-87.635526995,17875,2016-04-11
"152",41.960536388,-87.669373414,5e+05,2016-04-11
"153",41.930854771,-87.708163367,40000,2016-04-11
"154",41.757515575,-87.646500135,17875,2016-04-11
"155",41.802204845,-87.656147834,17875,2016-04-11
"156",41.906478036,-87.695823352,1104000,2016-04-11
"157",41.936220507,-87.680830271,493400,2016-04-11
"158",41.689879807,-87.630777786,17875,2016-04-11
"159",41.79735513,-87.652677666,17875,2016-04-11
"160",41.783676345,-87.658395797,17875,2016-04-11
"161",41.802656877,-87.656159058,17875,2016-04-11
"162",41.797732081,-87.65389746,17875,2016-04-11
"163",41.860083651,-87.628929711,17875,2016-04-11
"164",41.908984172,-87.692234641,35000,2016-04-12
"165",41.935085313,-87.664451123,17875,2016-04-12
"166",41.906519615,-87.683607802,17875,2016-04-12
"167",41.800544773,-87.646644959,17875,2016-04-11
"168",41.891456284,-87.68442,1335000,2016-04-12
